,beta,outbreak_size,system_size,transmissibility,kappa,size_fraction,legend_kappa
0,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
1,0.1,6,100,0.10714285714285687,20,0.06,$\kappa = 20$
2,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
3,0.1,4,100,0.10714285714285687,20,0.04,$\kappa = 20$
4,0.1,9,100,0.10714285714285687,20,0.09,$\kappa = 20$
5,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
6,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
7,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
8,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
9,0.1,1,100,0.10714285714285687,20,0.01,$\kappa = 20$
10,0.14250000000000002,9,100,0.2038216560509556,20,0.09,$\kappa = 20$
11,0.14250000000000002,10,100,0.2038216560509556,20,0.1,$\kappa = 20$
12,0.14250000000000002,1,100,0.2038216560509556,20,0.01,$\kappa = 20$
13,0.14250000000000002,1,100,0.2038216560509556,20,0.01,$\kappa = 20$
14,0.14250000000000002,1,100,0.2038216560509556,20,0.01,$\kappa = 20$
15,0.14250000000000002,33,100,0.2038216560509556,20,0.33,$\kappa = 20$
16,0.14250000000000002,6,100,0.2038216560509556,20,0.06,$\kappa = 20$
17,0.14250000000000002,40,100,0.2038216560509556,20,0.4,$\kappa = 20$
18,0.14250000000000002,1,100,0.2038216560509556,20,0.01,$\kappa = 20$
19,0.14250000000000002,1,100,0.2038216560509556,20,0.01,$\kappa = 20$
20,0.185,1,100,0.2816091954022988,20,0.01,$\kappa = 20$
21,0.185,1,100,0.2816091954022988,20,0.01,$\kappa = 20$
22,0.185,1,100,0.2816091954022988,20,0.01,$\kappa = 20$
23,0.185,1,100,0.2816091954022988,20,0.01,$\kappa = 20$
24,0.185,6,100,0.2816091954022988,20,0.06,$\kappa = 20$
25,0.185,8,100,0.2816091954022988,20,0.08,$\kappa = 20$
26,0.185,2,100,0.2816091954022988,20,0.02,$\kappa = 20$
27,0.185,38,100,0.2816091954022988,20,0.38,$\kappa = 20$
28,0.185,24,100,0.2816091954022988,20,0.24,$\kappa = 20$
29,0.185,22,100,0.2816091954022988,20,0.22,$\kappa = 20$
30,0.2275,22,100,0.3455497382198953,20,0.22,$\kappa = 20$
31,0.2275,5,100,0.3455497382198953,20,0.05,$\kappa = 20$
32,0.2275,3,100,0.3455497382198953,20,0.03,$\kappa = 20$
33,0.2275,1,100,0.3455497382198953,20,0.01,$\kappa = 20$
34,0.2275,1,100,0.3455497382198953,20,0.01,$\kappa = 20$
35,0.2275,3,100,0.3455497382198953,20,0.03,$\kappa = 20$
36,0.2275,35,100,0.3455497382198953,20,0.35,$\kappa = 20$
37,0.2275,2,100,0.3455497382198953,20,0.02,$\kappa = 20$
38,0.2275,40,100,0.3455497382198953,20,0.4,$\kappa = 20$
39,0.2275,2,100,0.3455497382198953,20,0.02,$\kappa = 20$
40,0.27,2,100,0.39903846153846156,20,0.02,$\kappa = 20$
41,0.27,50,100,0.39903846153846156,20,0.5,$\kappa = 20$
42,0.27,2,100,0.39903846153846156,20,0.02,$\kappa = 20$
43,0.27,34,100,0.39903846153846156,20,0.34,$\kappa = 20$
44,0.27,1,100,0.39903846153846156,20,0.01,$\kappa = 20$
45,0.27,1,100,0.39903846153846156,20,0.01,$\kappa = 20$
46,0.27,1,100,0.39903846153846156,20,0.01,$\kappa = 20$
47,0.27,1,100,0.39903846153846156,20,0.01,$\kappa = 20$
48,0.27,2,100,0.39903846153846156,20,0.02,$\kappa = 20$
49,0.27,1,100,0.39903846153846156,20,0.01,$\kappa = 20$
50,0.3125,1,100,0.4444444444444444,20,0.01,$\kappa = 20$
51,0.3125,30,100,0.4444444444444444,20,0.3,$\kappa = 20$
52,0.3125,1,100,0.4444444444444444,20,0.01,$\kappa = 20$
53,0.3125,4,100,0.4444444444444444,20,0.04,$\kappa = 20$
54,0.3125,1,100,0.4444444444444444,20,0.01,$\kappa = 20$
55,0.3125,11,100,0.4444444444444444,20,0.11,$\kappa = 20$
56,0.3125,2,100,0.4444444444444444,20,0.02,$\kappa = 20$
57,0.3125,1,100,0.4444444444444444,20,0.01,$\kappa = 20$
58,0.3125,1,100,0.4444444444444444,20,0.01,$\kappa = 20$
59,0.3125,38,100,0.4444444444444444,20,0.38,$\kappa = 20$
60,0.355,48,100,0.48347107438016523,20,0.48,$\kappa = 20$
61,0.355,37,100,0.48347107438016523,20,0.37,$\kappa = 20$
62,0.355,2,100,0.48347107438016523,20,0.02,$\kappa = 20$
63,0.355,1,100,0.48347107438016523,20,0.01,$\kappa = 20$
64,0.355,1,100,0.48347107438016523,20,0.01,$\kappa = 20$
65,0.355,66,100,0.48347107438016523,20,0.66,$\kappa = 20$
66,0.355,1,100,0.48347107438016523,20,0.01,$\kappa = 20$
67,0.355,72,100,0.48347107438016523,20,0.72,$\kappa = 20$
68,0.355,1,100,0.48347107438016523,20,0.01,$\kappa = 20$
69,0.355,7,100,0.48347107438016523,20,0.07,$\kappa = 20$
70,0.39749999999999996,1,100,0.5173745173745175,20,0.01,$\kappa = 20$
71,0.39749999999999996,1,100,0.5173745173745175,20,0.01,$\kappa = 20$
72,0.39749999999999996,1,100,0.5173745173745175,20,0.01,$\kappa = 20$
