,beta,outbreak_size,system_size,transmissibility,kappa,size_fraction,legend_kappa
0,0.1,62,500,0.10714285714285687,20,0.124,$\kappa = 20$
1,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
2,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
3,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
4,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
5,0.1,29,500,0.10714285714285687,20,0.058,$\kappa = 20$
6,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
7,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
8,0.1,18,500,0.10714285714285687,20,0.036,$\kappa = 20$
9,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
10,0.1,79,500,0.10714285714285687,20,0.158,$\kappa = 20$
11,0.1,139,500,0.10714285714285687,20,0.278,$\kappa = 20$
12,0.1,29,500,0.10714285714285687,20,0.058,$\kappa = 20$
13,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
14,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
15,0.1,11,500,0.10714285714285687,20,0.022,$\kappa = 20$
16,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
17,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
18,0.1,13,500,0.10714285714285687,20,0.026,$\kappa = 20$
19,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
20,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
21,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
22,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
23,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
24,0.1,79,500,0.10714285714285687,20,0.158,$\kappa = 20$
25,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
26,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
27,0.1,38,500,0.10714285714285687,20,0.076,$\kappa = 20$
28,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
29,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
30,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
31,0.1,71,500,0.10714285714285687,20,0.142,$\kappa = 20$
32,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
33,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
34,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
35,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
36,0.1,3,500,0.10714285714285687,20,0.006,$\kappa = 20$
37,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
38,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
39,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
40,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
41,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
42,0.1,13,500,0.10714285714285687,20,0.026,$\kappa = 20$
43,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
