,beta,outbreak_size,system_size,transmissibility,kappa,size_fraction,legend_kappa
0,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
1,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
2,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
3,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
4,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
5,0.05,3,500,0.1304347826086959,20,0.006,$\kappa = 20$
6,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
7,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
8,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
9,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
10,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
11,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
12,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
13,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
14,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
15,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
16,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
17,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
18,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
19,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
20,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
21,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
22,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
23,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
24,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
25,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
26,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
27,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
28,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
29,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
30,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
31,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
32,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
33,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
34,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
35,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
36,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
37,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
38,0.05,3,500,0.1304347826086959,20,0.006,$\kappa = 20$
39,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
40,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
41,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
42,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
43,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
44,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
45,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
46,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
47,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
48,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
49,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
50,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
51,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
52,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
53,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
54,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
55,0.05,2,500,0.1304347826086959,20,0.004,$\kappa = 20$
56,0.05,1,500,0.1304347826086959,20,0.002,$\kappa = 20$
